,Title,Year,Certification,Runtime,Genre,Summary,Votes,Ratings
228,Lage Raho Munna Bhai,2006,PG,144,"Comedy, Drama, Romance",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,39631,8.1
229,Million Dollar Baby,2004,M,132,"Drama, Sport",A determined woman works with a hardened boxing trainer to become a professional.,598774,8.1
230,Hotel Rwanda,2004,M,121,"Biography, Drama, History",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,319036,8.1
231,Taegukgi hwinalrimyeo,2004,MA15+,140,"Action, Drama, War","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",36229,8.1
232,Munna Bhai M.B.B.S.,2003,M,156,"Comedy, Drama, Musical",A gangster sets out to fulfill his father's dream of becoming a doctor.,67495,8.1
233,Salinui chueok,2003,MA15+,131,"Action, Crime, Drama","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",108521,8.1
234,Mou gaan dou,2002,M,101,"Crime, Drama, Mystery","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",113326,8.1
235,Dil Chahta Hai,2001,G,183,"Comedy, Drama, Romance","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",62453,8.1
236,Kill Bill: Vol. 1,2003,R,111,"Action, Crime, Thriller","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",934092,8.1
237,Finding Nemo,2003,G,100,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",891454,8.1
238,Catch Me If You Can,2002,M,141,"Biography, Crime, Drama","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",747227,8.1
239,Amores perros,2000,MA,154,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",210923,8.1
240,Lagaan: Once Upon a Time in India,2001,PG,224,"Adventure, Drama, Musical",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,96041,8.1
241,The Sixth Sense,1999,M,107,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,862940,8.1
242,La leggenda del pianista sull'oceano,1998,M,169,"Drama, Music, Romance","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",54508,8.1
243,The Truman Show,1998,PG,103,"Comedy, Drama, Sci-Fi",An insurance salesman discovers his whole life is actually a reality TV show.,863114,8.1
244,"Crna macka, beli macor",1998,MA,127,"Comedy, Crime, Romance",A small time hustler gets more than he bargained for when he tries to repay his debts by marrying his son to a sister of a troublesome gangster.,47977,8.1
245,The Big Lebowski,1998,MA,117,"Comedy, Crime, Sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",680556,8.1
246,Faa yeung nin wa,2000,G,98,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",110106,8.1
247,Trainspotting,1996,R,93,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",602271,8.1
248,Fargo,1996,MA,98,"Crime, Drama, Thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,575374,8.1
249,Underground,1995,M,170,"Comedy, Drama, War","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",51924,8.1
250,La haine,1995,MA,98,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,135551,8.1
251,Dilwale Dulhania Le Jayenge,1995,PG,189,"Drama, Romance","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",59290,8.1
252,Before Sunrise,1995,M,101,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",245869,8.1
253,Trois couleurs: Rouge,1994,M,99,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.,82498,8.1
254,Chung Hing sam lam,1994,M,102,"Comedy, Crime, Drama","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",55145,8.1
255,Jurassic Park,1993,PG,127,"Action, Adventure, Sci-Fi",A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,804129,8.1
256,In the Name of the Father,1993,M,133,"Biography, Drama",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,145235,8.1
257,Da hong deng long gao gao gua,1991,PG,125,"Drama, History, Romance","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",27103,8.1
258,Dead Poets Society,1989,PG,128,"Comedy, Drama",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,384272,8.1
259,Akira,1988,M,124,"Animation, Action, Drama",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,147171,8.1
260,The Princess Bride,1987,PG,98,"Adventure, Family, Fantasy","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",369056,8.1
261,Stand by Me,1986,M,89,"Adventure, Drama","After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.",341673,8.1
262,Platoon,1986,R,120,"Drama, War",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,359353,8.1
263,"Paris, Texas",1984,PG,145,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",78236,8.1
264,Kaze no tani no Naushika,1984,PG,117,"Animation, Adventure, Fantasy",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,132166,8.1
265,The Thing,1982,M,109,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,342625,8.1
266,Pink Floyd: The Wall,1982,M,95,"Animation, Drama, Fantasy",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,72001,8.1
267,Fitzcarraldo,1982,NRC,158,"Adventure, Drama","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",28440,8.1
268,Fanny och Alexander,1982,M,188,Drama,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",53254,8.1
269,Blade Runner,1982,M,117,"Action, Sci-Fi, Thriller","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",646404,8.1
270,The Elephant Man,1980,M,124,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",204998,8.1
271,Life of Brian,1979,M,94,Comedy,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.",343266,8.1
272,The Deer Hunter,1978,R,183,"Drama, War",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,291172,8.1
273,Rocky,1976,NRC,120,"Drama, Sport",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,485308,8.1
274,Network,1976,M,121,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,135230,8.1
275,Barry Lyndon,1975,NRC,185,"Adventure, Drama, History",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,136741,8.1
276,Zerkalo,1975,M,107,"Biography, Drama","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",34280,8.1
277,Paper Moon,1973,NRC,102,"Comedy, Drama","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",38984,8.1
278,Viskningar och rop,1972,M,91,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",26815,8.1
279,Solaris,1972,NRC,167,"Drama, Mystery, Sci-Fi",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,72589,8.1
280,The Godson,1967,NRC,105,"Crime, Drama, Mystery",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,40738,8.1
281,Cool Hand Luke,1967,A,127,"Crime, Drama","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",152114,8.1
282,Persona,1966,M,85,"Drama, Thriller",A nurse is put in charge of a mute actress and finds that their personae are melding together.,90664,8.1
283,La battaglia di Algeri,1966,M,121,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",48528,8.1
284,El ángel exterminador,1962,M,95,"Drama, Fantasy",The guests at an upper-class dinner party find themselves unable to leave.,26761,8.1
285,What Ever Happened to Baby Jane?,1962,A,134,"Drama, Horror, Thriller",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,46543,8.1
286,Sanjuro,1962,PG,96,"Action, Comedy, Crime","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",28972,8.1
287,The Man Who Shot Liberty Valance,1962,G,123,"Drama, Western","A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",64092,8.1
288,Ivan's Childhood,1962,M,95,"Drama, War","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",27503,8.1
289,Inherit the Wind,1960,G,128,"Biography, Drama, History","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",25321,8.1
290,Les quatre cents coups,1959,PG,99,"Crime, Drama","A young boy, left without attention, delves into a life of petty crime.",95174,8.1
291,Ben-Hur,1959,G,212,"Adventure, Drama, History","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",205924,8.1
292,The Hidden Fortress,1958,PG,139,"Adventure, Drama","Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general.",30749,8.1
293,Sweet Smell of Success,1957,PG,96,"Drama, Film-Noir",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,25249,8.1
294,Le notti di Cabiria,1957,M,110,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,39601,8.1
295,Throne of Blood,1957,PG,110,"Drama, History","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",41131,8.1
296,The Bridge on the River Kwai,1957,G,161,"Adventure, Drama, War","British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it.",190360,8.1
297,On the Waterfront,1954,A,108,"Crime, Drama, Thriller",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,131980,8.1
298,Le salaire de la peur,1953,SOA,131,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",49850,8.1
299,The Third Man,1949,A,104,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",148952,8.1
300,The Shop Around the Corner,1940,PG,99,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",25015,8.1
301,Rebecca,1940,A,130,"Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,113635,8.1
302,Mr. Smith Goes to Washington,1939,G,129,"Comedy, Drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",100361,8.1
303,Gone with the Wind,1939,A,238,"Drama, History, Romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,270112,8.1
304,The Grand Illusion,1937,G,113,"Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",31682,8.1
305,It Happened One Night,1934,N/A,105,"Drama, War",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,86903,8.1
306,Sunrise: A Song of Two Humans,1927,N/A,94,"Drama, War",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,44378,8.1
307,The General,1926,G,107,"Action, Adventure, Comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",73920,8.1
308,Das Cabinet des Dr. Caligari,1920,PG,76,"Fantasy, Horror, Mystery","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",51777,8.1
309,Manbiki kazoku,2018,M,121,"Crime, Drama",A family of small-time crooks take in a child they find outside in the cold.,41493,8.0
310,Airlift,2016,M,130,"Drama, History","When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",49621,8.0
311,Bajrangi Bhaijaan,2015,M,163,"Action, Comedy, Drama",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,66089,8.0
312,Baby,2015,M,159,"Action, Thriller","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",49535,8.0
313,La La Land,2016,M,128,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",454995,8.0
314,Lion,2016,PG,118,"Biography, Drama","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",189603,8.0
315,The Martian,2015,M,144,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",703346,8.0
316,Sing Street,2016,M,106,"Comedy, Drama, Music",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,77539,8.0
317,Zootopia,2016,PG,108,"Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",397202,8.0
318,Kaguyahime no monogatari,2013,PG,137,"Animation, Adventure, Drama","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",30363,8.0
319,Wonder,2017,PG,113,"Drama, Family","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",119511,8.0
320,Special Chabbis,2013,PG,144,"Crime, Drama, Thriller",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,46727,8.0
321,Short Term 12,2013,R,96,Drama,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,75437,8.0
322,Serbuan Maut 2: Berandal,2014,R18+,150,"Action, Crime, Thriller","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",107005,8.0
323,The Imitation Game,2014,M,114,"Biography, Drama, Thriller","During World War II, the English mathematical geniusAlan Turingtries to crack the German Enigma code with help from fellow mathematicians.",636378,8.0
324,Guardians of the Galaxy,2014,M,121,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,983117,8.0
325,X-Men: Days of Future Past,2014,M,132,"Action, Adventure, Sci-Fi",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,633236,8.0
326,Blade Runner 2049,2017,MA15+,164,"Action, Drama, Mystery","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",401762,8.0
327,Her,2013,MA15+,126,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",488927,8.0
328,Bohemian Rhapsody,2018,M,134,"Biography, Drama, Music","The story of the legendary British rock bandQueenand lead singerFreddie Mercury, leading up to their famous performance atLive Aid(1985).",394739,8.0
329,The Revenant,2015,MA15+,156,"Action, Adventure, Biography",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,644969,8.0
330,The Perks of Being a Wallflower,2012,M,103,"Drama, Romance",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,430710,8.0
331,Tropa de Elite 2: O Inimigo Agora é Outro,2010,MA15+,115,"Action, Crime, Drama","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",76101,8.0
332,The King's Speech,2010,M,118,"Biography, Drama, History","The story ofKing George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",605686,8.0
333,Deadpool,2016,MA15+,108,"Action, Adventure, Comedy","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",847489,8.0
334,Darbareye Elly,2009,N/A,119,"Action, Adventure, Comedy",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,39785,8.0
335,Dev.D,2009,N/A,144,"Action, Adventure, Comedy","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",26765,8.0
336,Yip Man,2008,M,106,"Action, Biography, Drama","During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.",199227,8.0
337,My Name Is Khan,2010,M,165,Drama,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,92953,8.0
338,Nefes: Vatan Sagolsun,2009,N/A,128,Drama,Story of 40-man Turkish task force who must defend a relay station.,30139,8.0
339,Slumdog Millionaire,2008,MA15+,120,"Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",760576,8.0
340,Black Swan,2010,MA15+,108,"Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",662895,8.0
341,The Avengers,2012,M,143,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,1208513,8.0
342,Persepolis,2007,M,96,"Animation, Biography, Drama",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,83636,8.0
343,Dallas Buyers Club,2013,MA15+,117,"Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",411515,8.0
344,The Pursuit of Happyness,2006,M,117,"Biography, Drama",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,415821,8.0
345,Blood Diamond,2006,MA15+,143,"Adventure, Drama, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",471493,8.0
346,The Bourne Ultimatum,2007,M,115,"Action, Mystery, Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,585620,8.0
347,Bin-jip,2004,M,88,"Crime, Drama, Romance",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,45983,8.0
348,Sin City,2005,MA15+,124,"Crime, Thriller","A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.",722185,8.0
349,Le scaphandre et le papillon,2007,M,112,"Biography, Drama",The true story of Elle editorJean-Dominique Baubywho suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,99585,8.0
350,G.O.R.A.,2004,M,127,"Adventure, Comedy, Sci-Fi",A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,51558,8.0
351,Ratatouille,2007,PG,111,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,596834,8.0
352,Before Sunset,2004,M,80,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",214965,8.0
353,Casino Royale,2006,M,144,"Action, Adventure, Thriller","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high stakes game of poker at Casino Royale, Montenegro.",548551,8.0
354,Kill Bill: Vol. 2,2004,MA,137,"Action, Crime, Thriller","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",637428,8.0
355,Vozvrashchenie,2003,PG,110,Drama,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",39224,8.0
356,"Spring, Summer, Autumn, Winter... and Spring",2003,MA,103,"Drama, Romance",A boy is raised by a Buddhist monk on an isolated floating temple where the years pass like the seasons.,72509,8.0
357,Mar adentro,2004,M,126,"Biography, Drama","The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",73911,8.0
358,Cinderella Man,2005,M,144,"Biography, Drama, History","The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",168837,8.0
359,Kal Ho Naa Ho,2003,PG,186,"Comedy, Drama, Romance","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",59061,8.0
360,Pirates of the Caribbean: The Curse of the Black Pearl,2003,M,143,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",978213,8.0
361,Big Fish,2003,PG,125,"Adventure, Drama, Fantasy",A frustrated son tries to determine the fact from fiction in his dying father's life.,396138,8.0
362,The Incredibles,2004,PG,115,"Animation, Action, Adventure","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",619540,8.0
363,Yeopgijeogin geunyeo,2001,M,123,"Comedy, Drama, Romance","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",43084,8.0
364,Dogville,2003,MA,138,"Crime, Drama","A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits the town, she finds out that their support has a price. Yet her dangerous secret is never far away.",129262,8.0
365,Vizontele,2001,M,110,"Comedy, Drama","The film is about the introduction of television to a small village in southeast Anatolia in 1974. Employing a tragicomic language, it tells of the efforts of Emin who is the village idiot ...See full summary»",29759,8.0
366,Donnie Darko,2001,M,113,"Drama, Sci-Fi, Thriller","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",709632,8.0
367,"Monsters, Inc.",2001,G,92,"Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",761807,8.0
368,Magnolia,1999,MA,188,Drama,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",274592,8.0
369,Dancer in the Dark,2000,MA,140,"Crime, Drama, Musical","An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",95786,8.0
370,The Straight Story,1999,G,112,"Biography, Drama",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,76188,8.0
371,Perfect Blue,1997,MA,81,"Animation, Horror, Mystery",A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,47112,8.0
372,Festen,1998,MA,105,Drama,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",74374,8.0
373,The Iron Giant,1999,PG,86,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,161283,8.0
374,Knockin' on Heaven's Door,1997,N/A,87,"Animation, Action, Adventure","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",25699,8.0
375,Sling Blade,1996,MA,135,Drama,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",83213,8.0
376,Secrets & Lies,1996,M,136,Drama,"A successful black woman discovers that her birth mother is an underprivileged white woman, but the woman denies it. As emotions run high, everyone's secrets are exposed.",34491,8.0
377,Twelve Monkeys,1995,M,129,"Mystery, Sci-Fi, Thriller","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",548650,8.0
378,Mimi wo sumaseba,1995,PG,111,"Animation, Drama, Family","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",42164,8.0
379,Ghost in the Shell,1995,M,83,"Animation, Action, Crime",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,118974,8.0
380,The Nightmare Before Christmas,1993,G,76,"Animation, Family, Fantasy","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",275091,8.0
381,Groundhog Day,1993,PG,101,"Comedy, Fantasy, Romance",A weatherman finds himself inexplicably living the same day over and over again.,550832,8.0
382,"Blood In, Blood Out",1993,M,180,"Crime, Drama","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",27203,8.0
383,Scent of a Woman,1992,M,156,Drama,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",239423,8.0
384,Aladdin,1992,G,90,"Animation, Adventure, Comedy",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,339227,8.0
385,JFK,1991,M,189,"Drama, History, Thriller",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,133335,8.0
386,Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,398765,8.0
387,Dances with Wolves,1990,M,181,"Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",225634,8.0
388,Rain Man,1988,M,133,Drama,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,449421,8.0
389,Der Himmel über Berlin,1987,PG,128,"Drama, Fantasy, Romance",An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,59550,8.0
390,Au revoir les enfants,1987,PG,104,"Drama, War","A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of top student in his class. Rivals at first, the roommates form a bond and share a secret.",28786,8.0
391,Castle in the Sky,1986,G,125,"Animation, Adventure, Drama",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,131965,8.0
