,Title,Year,Certification,Runtime,Genre,Summary,Votes,Ratings
69,The Lives of Others,2006,MA15+,137,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",332506,8.4
70,Oldeuboi,2003,R,120,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",473601,8.4
71,Memento,2000,MA,113,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,1054500,8.4
72,Princess Mononoke,1997,M,134,"Animation, Adventure, Fantasy","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",304868,8.4
73,Aliens,1986,M,137,"Action, Adventure, Sci-Fi","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",615337,8.4
74,Once Upon a Time in America,1984,R,229,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",286627,8.4
75,Raiders of the Lost Ark,1981,NRC,115,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant beforeAdolf Hitler's Nazis can obtain its awesome powers.",832012,8.4
76,The Shining,1980,M,146,"Drama, Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",819639,8.4
77,Apocalypse Now,1979,R,147,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,564396,8.4
78,Alien,1979,M,117,"Horror, Sci-Fi","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",734936,8.4
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95,Comedy,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,424650,8.4
80,Witness for the Prosecution,1957,G,111,"Crime, Drama, Film-Noir",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,96668,8.4
81,Paths of Glory,1957,SOA,88,"Drama, War","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",162209,8.4
82,Rear Window,1954,A,112,"Mystery, Thriller",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,411331,8.4
83,Sunset Blvd.,1950,G,110,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,185183,8.4
84,Jagten,2012,MA15+,115,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",251658,8.3
85,Ford v Ferrari,2019,M,152,"Action, Biography, Drama","American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.",44973,8.3
86,Jodaeiye Nader az Simin,2011,PG,123,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,203581,8.3
87,Incendies,2010,MA15+,131,"Drama, Mystery, War",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,129770,8.3
88,Babam ve Oglum,2005,N/A,108,"Drama, Mystery, War",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,70963,8.3
89,Toy Story 3,2010,G,103,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",708811,8.3
90,Inglourious Basterds,2009,MA15+,153,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",1164853,8.3
91,Eternal Sunshine of the Spotless Mind,2004,M,108,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",845938,8.3
92,Amelie,2001,M,122,"Comedy, Romance","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",666600,8.3
93,Snatch,2000,MA,104,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",735768,8.3
94,Requiem for a Dream,2000,R,102,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,717859,8.3
95,American Beauty,1999,MA,122,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1010917,8.3
96,Good Will Hunting,1997,M,126,"Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",791853,8.3
97,Bacheha-Ye aseman,1997,PG,89,"Drama, Family, Sport","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",56705,8.3
98,Eskiya,1996,N/A,128,"Drama, Family, Sport","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",57629,8.3
99,Toy Story,1995,G,81,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,824786,8.3
100,Braveheart,1995,MA,178,"Biography, Drama, History","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",910238,8.3
101,Reservoir Dogs,1992,R,99,"Crime, Drama, Thriller","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",855476,8.3
102,Full Metal Jacket,1987,R,116,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,628008,8.3
103,Idi i smotri,1985,M,142,"Drama, War","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",45990,8.3
104,Amadeus,1984,PG,160,"Biography, Drama, History","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",345915,8.3
105,Scarface,1983,R,170,"Crime, Drama","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",683939,8.3
106,Star Wars: Episode VI - Return of the Jedi,1983,NRC,131,"Action, Adventure, Fantasy","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",884794,8.3
107,Das Boot,1981,M,149,"Adventure, Drama, Thriller","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",216388,8.3
